120,"MATTHEW","WEISS","MWEISS","650.123.1234","2004-07-18","ST_MAN",8000.00,NULL,100,50
121,"ADAM","FRIPP","AFRIPP","650.123.2234","2005-04-10","ST_MAN",8200.00,NULL,100,50
122,"PAYAM","KAUFLING","PKAUFLIN","650.123.3234","2003-05-01","ST_MAN",7900.00,NULL,100,50
123,"SHANTA","VOLLMAN","SVOLLMAN","650.123.4234","2005-10-10","ST_MAN",6500.00,NULL,100,50
124,"KEVIN","MOURGOS","KMOURGOS","650.123.5234","2007-11-16","ST_MAN",5800.00,NULL,100,50
125,"JULIA","NAYER","JNAYER","650.124.1214","2005-07-16","ST_CLERK",3200.00,NULL,120,50
126,"IRENE","MIKKILINENI","IMIKKILI","650.124.1224","2006-09-28","ST_CLERK",2700.00,NULL,120,50
127,"JAMES","LANDRY","JLANDRY","650.124.1334","2007-01-14","ST_CLERK",2400.00,NULL,120,50
128,"STEVEN","MARKLE","SMARKLE","650.124.1434","2008-03-08","ST_CLERK",2200.00,NULL,120,50
129,"LAURA","BISSOT","LBISSOT","650.124.5234","2005-08-20","ST_CLERK",3300.00,NULL,121,50
130,"MOZHE","ATKINSON","MATKINSO","650.124.6234","2005-10-30","ST_CLERK",2800.00,NULL,121,50
131,"JAMES","MARLOW","JAMRLOW","650.124.7234","2005-02-16","ST_CLERK",2500.00,NULL,121,50
132,"TJ","OLSON","TJOLSON","650.124.8234","2007-04-10","ST_CLERK",2100.00,NULL,121,50
133,"JASON","MALLIN","JMALLIN","650.127.1934","2004-06-14","ST_CLERK",3300.00,NULL,122,50
134,"MICHAEL","ROGERS","MROGERS","650.127.1834","2006-08-26","ST_CLERK",2900.00,NULL,122,50
135,"KI","GEE","KGEE","650.127.1734","2007-12-12","ST_CLERK",2400.00,NULL,122,50
136,"HAZEL","PHILTANKER","HPHILTAN","650.127.1634","2008-02-06","ST_CLERK",2200.00,NULL,122,50
137,"RENSKE","LADWIG","RLADWIG","650.121.1234","2003-07-14","ST_CLERK",3600.00,NULL,123,50
138,"STEPHEN","STILES","SSTILES","650.121.2034","2005-10-26","ST_CLERK",3200.00,NULL,123,50
139,"JOHN","SEO","JSEO","650.121.2019","2006-02-12","ST_CLERK",2700.00,NULL,123,50
140,"JOSHUA","PATEL","JPATEL","650.121.1834","2006-04-06","ST_CLERK",2500.00,NULL,123,50
141,"TRENNA","RAJS","TRAJS","650.121.8009","2003-10-17","ST_CLERK",3500.00,NULL,124,50
142,"CURTIS","DAVIES","CDAVIES","650.121.2994","2005-01-29","ST_CLERK",3100.00,NULL,124,50
143,"RANDALL","MATOS","RMATOS","650.121.2874","2006-03-15","ST_CLERK",2600.00,NULL,124,50
144,"PETER","VARGAS","PVARGAS","650.121.2004","2006-07-09","ST_CLERK",2500.00,NULL,124,50
180,"WINSTON","TAYLOR","WTAYLOR","650.507.9876","2006-01-24","SH_CLERK",3200.00,NULL,120,50
181,"JEAN","FLEAUR","JFLEAUR","650.507.9877","2006-02-23","SH_CLERK",3100.00,NULL,120,50
182,"MARTHA","SULLIVAN","MSULLIVA","650.507.9878","2007-06-21","SH_CLERK",2500.00,NULL,120,50
183,"GIRARD","GEONI","GGEONI","650.507.9879","2008-02-03","SH_CLERK",2800.00,NULL,120,50
184,"NANDITA","SARCHAND","NSARCHAN","650.509.1876","2004-01-27","SH_CLERK",4200.00,NULL,121,50
185,"ALEXIS","BULL","ABULL","650.509.2876","2005-02-20","SH_CLERK",4100.00,NULL,121,50
186,"JULIA","DELLINGER","JDELLING","650.509.3876","2006-06-24","SH_CLERK",3400.00,NULL,121,50
187,"ANTHONY","CABRIO","ACABRIO","650.509.4876","2007-02-07","SH_CLERK",3000.00,NULL,121,50
188,"KELLY","CHUNG","KCHUNG","650.505.1876","2005-06-14","SH_CLERK",3800.00,NULL,122,50
189,"JENNIFER","DILLY","JDILLY","650.505.2876","2005-08-13","SH_CLERK",3600.00,NULL,122,50
190,"TIMOTHY","GATES","TGATES","650.505.3876","2006-07-11","SH_CLERK",2900.00,NULL,122,50
191,"RANDALL","PERKINS","RPERKINS","650.505.4876","2007-12-19","SH_CLERK",2500.00,NULL,122,50
192,"SARAH","BELL","SBELL","650.501.1876","2004-02-04","SH_CLERK",4000.00,NULL,123,50
193,"BRITNEY","EVERETT","BEVERETT","650.501.2876","2005-03-03","SH_CLERK",3900.00,NULL,123,50
194,"SAMUEL","MCCAIN","SMCCAIN","650.501.3876","2006-07-01","SH_CLERK",3200.00,NULL,123,50
195,"VANCE","JONES","VJONES","650.501.4876","2007-03-17","SH_CLERK",2800.00,NULL,123,50
196,"ALANA","WALSH","AWALSH","650.507.9811","2006-04-24","SH_CLERK",3100.00,NULL,124,50
197,"KEVIN","FEENEY","KFEENEY","650.507.9822","2006-05-23","SH_CLERK",3000.00,NULL,124,50
198,"DONALD","OCONNELL","DOCONNEL","650.507.9833","2007-06-21","SH_CLERK",2600.00,NULL,124,50
199,"DOUGLAS","GRANT","DGRANT","650.507.9844","2008-01-13","SH_CLERK",2600.00,NULL,124,50
